2.2
变量名,方法,地址,类型,触发,大小端,原值,值,状态,表达式,上传,权限,设备名,别名,更新时间,备注
预约按钮,Coil,3010,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,0：关闭预约功能;1：启动预约功能
运行按钮,Coil,8000,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,置1设备运行，自动复位
停止按钮,Coil,8001,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,置1设备停止，自动复位
故障复位按钮,Coil,8002,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,置1故障复位，自动复位
继续运行按钮,Coil,8007,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,置1继续运行，自动复位
程式跳段按钮,Coil,8006,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,置1程式跳段，自动复位
温度自整定,Coil,8014,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,0：关闭自整定功能;1：启动自整定功能（一段时间自动复位）
湿度自整定,Coil,8015,bit,True,None,,,UnKnow,raw==1,True,读写,Modbus,,00:00:00.000,0：关闭自整定功能;1：启动自整定功能（一段时间自动复位）
2.3
变量名,方法,地址,类型,触发,大小端,原值,值,状态,表达式,上传,权限,设备名,别名,更新时间,单位,备注
运行状态,InputRegisters,7990,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,0：停止;1：运行
温度测量,InputRegisters,7991,uint16,False,None,,,UnKnow,raw/10.0,True,只读,Modbus,,00:00:00.000,℃,当前温度测量值(-200~300℃)
湿度测量,InputRegisters,7992,uint16,False,None,,,UnKnow,raw/10.0,True,只读,Modbus,,00:00:00.000,%,当前湿度测量值(0-100%)
湿球基准,InputRegisters,7993,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,
温度设定,InputRegisters,8024,uint16,False,None,,,UnKnow,raw/10.0,True,只读,Modbus,,00:00:00.000,℃,设定温度（只读）(-200~300℃)
湿度设定,InputRegisters,8025,uint16,False,None,,,UnKnow,raw/10.0,True,只读,Modbus,,00:00:00.000,%,设定湿度（只读）(0-100%)
PID编号,InputRegisters,8027,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,当前温度运行的PID(1~9)
段次,InputRegisters,8034,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,程式状态画面
段次时间_时,InputRegisters,8037,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,程式状态画面
段次时间_分,InputRegisters,8038,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,程式状态画面
运行总时间_分,InputRegisters,8042,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,分,设备运行时记录的时间：分
运行总时间_时,InputRegisters,8043,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,时,设备运行时记录的时间：小时
段次循环,InputRegisters,8048,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,程式状态画面
组循环,InputRegisters,8049,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,程式状态画面
当前时间_年,InputRegisters,9022,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间年
当前时间_月,InputRegisters,9021,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间月
当前时间_日,InputRegisters,9020,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间日
当前时间_时,InputRegisters,9019,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间时
当前时间_分,InputRegisters,9018,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间分
当前时间_秒,InputRegisters,9017,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,仪表当前时间秒
工程文件编译日期_年,InputRegisters,9122,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,
工程文件编译日期_月,InputRegisters,9123,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,
工程文件编译日期_日,InputRegisters,9124,uint16,False,None,,,UnKnow,raw,True,只读,Modbus,,00:00:00.000,,
2.4
变量名,方法,地址,类型,触发,大小端,原值,值,状态,表达式,上传,权限,设备名,别名,更新时间,单位,初始值,范围,备注
程序段温度_1_100,HoldingRegisters,5000,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,℃,0,-200-300,段号1~100所对应的温度
程序段湿度_1_100,HoldingRegisters,5100,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,%,0,0-100,段号1~100所对应的湿度
程序段时间_小时_1_100,HoldingRegisters,5200,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,H,0,0-999,段号1~100所对应的时间
程序段时间_分钟秒_1_100,HoldingRegisters,5300,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,S,0,0-5959,段号1~100所对应的时间
TS_12345678_1_100,HoldingRegisters,5400,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,0,,段号1~100所对应 TS
循环段次开始段次_1_4,HoldingRegisters,5600,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~100,程式编辑循环设定画面
循环段次结束段次_1_4,HoldingRegisters,5604,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~100,程式编辑循环设定画面
循环段次循环计数_1_4,HoldingRegisters,5608,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~99,程式编辑循环设定画面
该程式组对应的段数,HoldingRegisters,5612,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~100,程式编辑画面当前组号编辑段数
组循环计数,HoldingRegisters,5613,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~999,
组连接,HoldingRegisters,5614,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~100,
定值设定温度,HoldingRegisters,8100,uint16,False,None,,,UnKnow,raw/100.0,True,读写,Modbus,,00:00:00.000,℃,25.00,-100.00~300.00,定值控制
定值设定湿度,HoldingRegisters,8101,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,%,50.0,00.0~100.0,
MB扩展数量,HoldingRegisters,8102,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,
WP扩展数量,HoldingRegisters,8103,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,
回常温状态显示,HoldingRegisters,8104,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,0：隐藏 1：显示
试验终了会常温下限,HoldingRegisters,8105,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,
试验终了会常温上限,HoldingRegisters,8106,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,
控制类型,HoldingRegisters,8107,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,0：温湿度 1：温度
操作模式,HoldingRegisters,8108,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,0,0~1,0:定值控制 1:程式控制
湿度传感器类型,HoldingRegisters,8109,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,0：PT100 1：电压 2：电流
温度控制周期时间,HoldingRegisters,8110,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,S,,,
温度设定范围低,HoldingRegisters,8112,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,℃,,,温度下限
温度设定范围高,HoldingRegisters,8113,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,℃,,,温度上限
湿度设定范围低,HoldingRegisters,8114,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,%,,,湿度下限
湿度设定范围高,HoldingRegisters,8115,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,%,,,湿度上限
等待设定,HoldingRegisters,8280,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,,0：不使用；1：使用；2：段次
等待温度范围,HoldingRegisters,8281,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,℃,,0~100,
等待湿度范围,HoldingRegisters,8282,uint16,False,None,,,UnKnow,raw/10.0,True,读写,Modbus,,00:00:00.000,%,,0~100,
等待时间,HoldingRegisters,8283,uint16,False,None,,,UnKnow,raw,True,读写,Modbus,,00:00:00.000,,,0~9959,
